Largest 100 Cities,State,Region,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jan-22,Per_YOY_2017,D_YOY_2017,Per_YOY_2018,D_YOY_2018,Per_YOY_2019,D_YOY_2019,Per_YOY_2020,D_YOY_2020,Per_YOY_2021,D_YOY_2021
MESA, AZ,West,$934,"$1,025","$1,090","$1,295","$1,334","$1,700",10%,91,6%,65,19%,205,3%,39,27%,366
MIAMI, FL,South,"$2,020","$1,900","$2,044","$2,150","$2,069","$2,500",-6%,-120,8%,144,5%,106,-4%,-81,21%,431
MILWAUKEE, WI,Midwest,$950,$995,"$1,295",$950,"$1,271","$1,258",5%,45,30%,300,-27%,-345,34%,321,-1%,-13.5
MINNEAPOLIS, MN,Midwest,"$1,329","$1,403","$1,513","$1,403","$1,513","$1,600",6%,74,8%,110,-7%,-110,8%,110,6%,87
NASHVILLE, TN,South,"$1,400","$1,432","$1,509","$1,574","$1,584","$1,780",2%,31.5,5%,77.5,4%,64.5,1%,10,12%,196.5
NEW ORLEANS, LA,South,"$1,300","$1,250","$1,314","$1,450","$1,500","$1,600",-4%,-50,5%,64,10%,136,3%,50,7%,100
NEW YORK, NY,Northeast,"$3,195","$3,150","$3,595","$3,612","$3,100","$3,495",-1%,-45,14%,445,0%,17,-14%,-512,13%,395
NEWARK, NJ,Northeast,"$1,290","$1,300","$1,550","$1,566","$1,700","$1,800",1%,10,19%,250,1%,16,9%,134,6%,100
NORFOLK, VA,South,"$1,128","$1,109","$1,225","$1,199","$1,307","$1,465",-2%,-19,11%,116.5,-2%,-26,9%,108,12%,158
NORTH LAS VEGAS, NV,West,"$1,195","$1,250","$1,225","$1,525","$1,495","$1,850",5%,55,-2%,-25,24%,300,-2%,-30,24%,355
OAKLAND, CA,West,"$2,493","$2,302","$2,895","$2,497","$2,700","$2,890",-8%,-190.5,26%,593,-14%,-398,8%,203,7%,190
OKLAHOMA CITY, OK,South,$850,$850,$875,$900,$950,"$1,150",0%,0,3%,25,3%,25,6%,50,21%,200
OMAHA, NE,Midwest,$895,$895,$914,$895,$950,"$1,050",0%,0,2%,19,-2%,-19,6%,55,11%,100
ORLANDO, FL,South,"$1,275","$1,370","$1,480","$1,450","$1,454","$1,887",7%,95,8%,110,-2%,-30,0%,4,30%,433
PHILADELPHIA, PA,Northeast,"$1,400","$1,295","$1,608","$1,565","$1,600","$1,700",-8%,-105,24%,313,-3%,-43,2%,35,6%,100
PHOENIX, AZ,West,$997,"$1,076","$1,161","$1,295","$1,350","$1,715",8%,79,8%,85,12%,134,4%,55,27%,365
PITTSBURGH, PA,Northeast,"$1,140","$1,050","$1,348","$1,195","$1,300","$1,511",-8%,-90,28%,298,-11%,-153,9%,105,16%,211
PLANO, TX,South,"$1,349","$1,500","$1,389","$1,690","$1,450","$1,725",11%,151,-7%,-111,22%,301,-14%,-240,19%,275
PORTLAND, OR,West,"$1,520","$1,525","$1,520","$1,450","$1,500","$1,725",0%,5,0%,-5,-5%,-70,3%,50,15%,225
RALEIGH, NC,South,"$1,115","$1,150","$1,118","$1,295","$1,275","$1,556",3%,35,-3%,-32,16%,177,-2%,-20,22%,281
RENO, NV,West,"$1,100","$1,295","$1,434","$1,345","$1,500","$1,719",18%,195,11%,139,-6%,-89,12%,155,15%,219
RICHMOND, VA,South,"$1,075","$1,095","$1,132","$1,175","$1,334","$1,465",2%,20,3%,37,4%,43,14%,159,10%,131
RIVERSIDE, CA,West,"$1,451","$1,575","$1,617","$1,710","$1,856","$2,295",9%,124.5,3%,42,6%,92.5,9%,146,24%,439.5
SACRAMENTO, CA,West,"$1,310","$1,445","$1,500","$1,500","$1,695","$2,065",10%,135.5,4%,55,0%,-0.5,13%,195.5,22%,370
SAINT LOUIS, MO,Midwest,$955,$795,"$1,112",$950,"$1,177","$1,250",-17%,-160,40%,317,-15%,-162,24%,227,6%,73
SAINT PAUL, MN,Midwest,"$1,192","$1,249","$1,440","$1,295","$1,400","$1,485",5%,57.5,15%,191,-10%,-145,8%,105,6%,85
SAINT PETERSBURG, FL,South,"$1,260","$1,200","$1,386","$1,500","$1,750","$2,000",-5%,-60,16%,186,8%,114,17%,250,14%,250
SAN ANTONIO, TX,South,"$1,016","$1,100","$1,150","$1,130","$1,200","$1,379",8%,84,5%,50,-2%,-20,6%,70,15%,179
SAN DIEGO, CA,West,"$1,995","$2,080","$2,355","$2,200","$2,339","$2,900",4%,85,13%,275,-7%,-155,6%,139,24%,561
SAN FRANCISCO, CA,West,"$3,910","$3,600","$3,850","$3,790","$2,995","$3,391",-8%,-310,7%,250,-2%,-60,-21%,-795,13%,396
SAN JOSE, CA,West,"$2,710","$2,750","$2,805","$2,850","$2,623","$2,834",1%,40,2%,55,2%,45,-8%,-227,8%,211
SANTA ANA, CA,West,"$1,837","$1,900","$1,965","$2,040","$2,222","$2,506",3%,63,3%,65,4%,75,9%,182,13%,284
SCOTTSDALE, AZ,West,"$1,750","$1,800","$1,664","$2,200","$2,000","$2,378",3%,50,-8%,-136.5,32%,536.5,-9%,-200,19%,378
SEATTLE, WA,West,"$1,890","$1,850","$2,046","$1,925","$1,745","$2,170",-2%,-40,11%,196,-6%,-121,-9%,-180,24%,425
SPOKANE, WA,West,$820,$900,$975,$995,"$1,141","$1,395",10%,80,8%,75,2%,20,15%,146,22%,254
STOCKTON, CA,West,"$1,100","$1,295","$1,295","$1,295","$1,300","$1,550",18%,195,0%,0,0%,0,0%,5,19%,250
TAMPA, FL,South,"$1,217","$1,200","$1,352","$1,375","$1,678","$1,961",-1%,-17,13%,152,2%,23,22%,303,17%,283
TOLEDO, OH,South,$700,$738,$750,$744,$750,$825,5%,38,2%,12,-1%,-6,1%,6,10%,75
TUCSON, AZ,West,$850,$895,$812,$950,"$1,039","$1,314",5%,45,-9%,-83,17%,138,9%,89,26%,275
TULSA, OK,South,$800,$800,$765,$825,$859,"$1,009",0%,0,-4%,-35,8%,60,4%,34,17%,150
VIRGINIA BEACH, VA,South,"$1,275","$1,300","$1,199","$1,420","$1,419","$1,657",2%,25,-8%,-101,18%,221,0%,-1,17%,237.5
WASHINGTON, DC,South,"$2,315","$2,261","$2,389","$2,400","$2,150","$2,441",-2%,-54,6%,128,0%,11,-10%,-250,14%,291
WICHITA, KS,Midwest,$767,$795,$750,$750,$775,$810,4%,28.5,-6%,-45,0%,0,3%,25,5%,35
WINSTON SALEM, NC,South,$850,$875,$900,"$1,092",$960,"$1,285",3%,25,3%,25,21%,192,-12%,-132,34%,325
